CandidateID,Designation,Have you Completed your Graduation ?,Highest Educational Qualification,Total no of years Experience,Previous Industry worked,Name of your Previous Organization / Company,Average Incentive [per month] earned in your pervious company ?,Which Products you are selling in your pervious role ?,What was the average ticket size handled at your end in previous role ?,Department
EMP0521,DST,Full Time,Graduate,10,Insurance,Policy Planner insurance brokers Pvt Ltd ,Above 10K,Others;Housing Loans;,INR 50K - INR 2L,Secured Business Loan
EMP0613,DST,Full Time,Graduate,5,NBFC,Growth Source Financial Technology Pvt Ltd ,Above 10K,MSME / SME Loans;Personal Loans;,INR 5L - INR 15L,Business Loans
EMP0136,DST,Full Time,Graduate,2,NBFC,muthoot fiance,7K-10K,Others;,INR 5L - INR 15L,Secured Business Loan
EMP0351,DST,Full Time,Graduate,3,Banking,Axis Bank ,Above 10K,Housing Loans;,INR 50K - INR 2L,Mass Affluent Housing
EMP0049,DST,Full Time,Graduate,5,others,ZYDUS HEALTH CARE ,Nil,Others;,Fresher,Affordable Housing
EMP0003,DST,Full Time,Graduate,6,Non NBFC,IDFC FIRST BANK ,Above 10K,MSME / SME Loans;,INR 15L and above,Secured Business Loan
EMP0412,DST,Full Time,Under Graduate,2.7,Banking,Hdb financial services ,Above 10K,Others;,INR 5L - INR 15L,Mass Affluent Housing
EMP0152,DST,Full Time,Post Graduate,2,Banking,Axis Bank Ltd,Nil,Others;,Fresher,Secured Business Loan
EMP0352,DST,Full Time,Graduate,2,Non NBFC,Agrozeeorganics,Less than 3K,FMCG;,INR 50K - INR 2L,Affordable Housing
EMP0915,DST,Full Time,Graduate,3.166666667,NBFC,,3K-7K,Personal Loan,Â INR 2L - INR 5L,Sales
EMP0647,DST,Full Time,Graduate,4,NBFC,Bajaj finserv,3K-7K,Others;FMCG;,INR 50K and below,Affordable Housing
EMP0753,DST,,,,NBFC,,Above 10K,Unsecure Business Loan,INR 10L and above,Business Loans
EMP0097,DST,Full Time,Graduate,5,others,VRISHNI EVENTS AND JOB CONSULTANT,Above 10K,Others;,INR 50K - INR 2L,Affordable Housing
EMP0107,DST,Full Time,Graduate,5,NBFC,Aadhar housing finance,3K-7K,Housing Loans;MSME / SME Loans;,INR 5L - INR 15L,Budget Housing
EMP0369,DST,Full Time,Post Graduate,10,NBFC,ICICI HOME LOANS,3K-7K,Housing Loans;,INR 5L - INR 15L,Mass Affluent Housing
EMP0166,DST,Full Time,Graduate,12,Banking,HDB FINANCIAL SERVICES PVT LTD,Less than 3K,Others;,INR 5L - INR 15L,Affordable Housing
EMP0921,DST,,,0,NBFC,,3K-7K,Housing Loan,Â INR 2L - INR 5L,Affordable Housing
EMP0079,DST,Full Time,Post Graduate,6,others,JYOTHISHMATHI INISTITUTE OF TECHNOLOGY AND SCIENCE,3K-7K,Others;,INR 50K and below,Mass Affluent Housing
EMP0544,DST,Full Time,Post Graduate,5,NBFC,HDB FINANCIAL SERVICES,3K-7K,Others;Personal Loans;,INR 50K and below,Affordable Housing
EMP0812,DST,Full Time,Graduate,3.5,NBFC,,3K-7K,Housing Loan,Â INR 2L - INR 5L,Mass Affluent Housing
EMP0863,DST,Full Time,Graduate,0,Others,,7K-10K,,INR 10L and above,Secured Business Loan
EMP0562,DST,Full Time,Graduate,6,Banking,POONAWALLA FINCORP,7K-10K,Car Loans / Used Car Loans;Others;,INR 15L and above,Affordable Housing
EMP0678,DST,Full Time,Graduate,2,Others,Bharti Airtel Pvt Ltd ,3K-7K,Others;FMCG;,INR 50K and below,Affordable Housing
EMP0760,DST,,,,Others,,Above 10K,Housing Loan,Â INR 2L - INR 5L,Affordable Housing
EMP0570,DST,Full Time,Graduate,2,NBFC,Axomi micro finance limited,3K-7K,Housing Loans;Others;,INR 50K and below,Affordable Housing
EMP0234,DST,Full Time,Graduate,2,NBFC,Fusion micro finance ,3K-7K,Others;,Â INR 2L - INR 5L,Affordable Housing
EMP0394,DST,Part time,Graduate,4,NBFC,SMFG ,3K-7K,Housing Loans;,INR 5L - INR 15L,Affordable Housing
EMP0792,DST,,,0,Others,,Less than 3K,Housing Loan,INR 10L and above,Affordable Housing
EMP0757,DST,,,0,NBFC,,Above 10K,Housing Loan,INR 50K and below,Mass Affluent Housing
EMP0752,DST,,,,Others,,3K-7K,,INR 10L and above,Mass Affluent Housing
EMP0767,DST,,,,Others,,7K-10K,Current Account Ã¢Â€Â“ Saving Account/Others,Â INR 2L - INR 5L,Mass Affluent Housing
EMP0192,DST,Full Time,Post Graduate,1,Non NBFC,Simon & son's private limited ,3K-7K,Personal Loans;Others;,Fresher,Affordable Housing
EMP0564,DST,Full Time,Graduate,3.8,Banking,Utkarsh small finance bank,7K-10K,Current / Saving account [CASA];Others;,INR 15L and above,Mass Affluent Housing
EMP0512,DST,Full Time,Graduate,8,NBFC,Shriram City union finance Ltd ,Less than 3K,Car Loans / Used Car Loans;Personal Loans;,INR 5L - INR 15L,Mass Affluent Housing
EMP0709,DST,Full Time,Post Graduate,4,Banking,,Above 10K,Housing Loan,INR 50K and below,Mass Affluent Housing
EMP0452,DST,Full Time,Post Graduate,3,Insurance,Hdfc life insurance company limited ,Above 10K,Others;MSME / SME Loans;,INR 5L - INR 15L,Affordable Housing
EMP0182,DST,Part time,Graduate,1,NBFC,HDB FINANCIAL SERVICES LTD,3K-7K,MSME / SME Loans;Personal Loans;Others;,INR 5L - INR 15L,Business Loans
EMP0832,DST,,,0,NBFC,,Above 10K,Housing Loan,INR 50K and below,Mass Affluent Housing
EMP0559,DST,Full Time,Graduate,1,Banking,Axis Bank ,7K-10K,Current / Saving account [CASA];Housing Loans;,Â INR 2L - INR 5L,Mass Affluent Housing
EMP0739,DST,Full Time,Graduate,2.583333333,NBFC,,Less than 3K,Housing Loan,INR 50K - INR 2L,Mass Affluent Housing
EMP0115,DST,Full Time,Post Graduate,10,NBFC,SME Intellect Growth Capital pvt Ltd ,3K-7K,Housing Loans;MSME / SME Loans;Current / Savings account [CASA];,INR 15L and above,Affordable Housing
EMP0862,DST,Full Time,Graduate,0.5,NBFC,,3K-7K,Housing Loan,INR 10L and above,Affordable Housing
EMP0290,DST,Full Time,Graduate,4,NBFC,Brick Eagle Affordable Housing Finance Limited,3K-7K,Housing Loans;,INR 15L and above,Affordable Housing
EMP0568,DST,Full Time,Post Graduate,12,NBFC,SUPREME INDUSTRIES,Above 10K,Housing Loans;MSME / SME Loans;,INR 15L and above,Affordable Housing
EMP0365,DST,Full Time,Graduate,4,Banking,Axis bank ltd ,Above 10K,Personal Loans;,Â INR 2L - INR 5L,Sales
EMP0927,DST,Full Time,Graduate,1.666666667,Banking,,Above 10K,Used Car Loan,INR 5L - INR 10L,Sales
EMP0106,DST,Full Time,Graduate,5,NBFC,Indiabulls housing finance ,3K-7K,Housing Loans;,INR 15L and above,Budget Housing
EMP0224,DST,Full Time,Graduate,12,others,Prathyusha Engineering College ,Nil,Others;,Fresher,Mass Affluent Housing
EMP0198,DST,Full Time,Post Graduate,6,Banking,FINCARE SMALL FINANCE BANK,3K-7K,Housing Loans;,INR 5L - INR 15L,Affordable Housing
